Model,Dataset,Method,R1,R5,R10,N_Images
EVA02-B-16,ROCS-COCO,Baseline,35.09,55.50,64.12,3248
EVA02-B-16,ROCS-COCO,MINER,41.78,62.11,70.78,3248
EVA02-B-16,ROCS-Flickr30K,Baseline,35.62,57.74,66.61,2442
EVA02-B-16,ROCS-Flickr30K,MINER,42.33,65.24,73.84,2442
EVA02-L-14,ROCS-COCO,Baseline,39.28,58.98,66.82,3248
EVA02-L-14,ROCS-COCO,MINER,45.30,64.99,72.59,3248
EVA02-B-16,Flickr30K,Baseline,86.1,96.6,98.8,1000
EVA02-B-16,COCO,Baseline,58.72,80.52,88.14,5000
EVA02-L-14,Flickr30K,Baseline,89.7,98.5,99.1,1000
EVA02-L-14,COCO,Baseline,63.74,84.3,90.3,5000
EVA02-L-14,ROCS-Flickr30K,Baseline,40.55,61.2,69.73,2442
EVA02-L-14,ROCS-Flickr30K,MINER,46.01,68.51,75.78,2442
ViT-H-14 LAION-2B,Flickr30K,Baseline,90.7,99.2,99.7,1000
ViT-H-14 LAION-2B,COCO,Baseline,65.9,86.08,91.86,5000
ViT-H-14 LAION-2B,ROCS-COCO,Baseline,40.65,60.99,69.14,3248
ViT-H-14 LAION-2B,ROCS-COCO,MINER,46.56,66.89,74.69,3248
